"Id";"Référence";"Empreinte";"Quantité";"Désignation";"Fournisseur et réf";
1;"R10,R9,R7,R5,R3,R8";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";6;"10k";;;
2;"R6,R4,R14,R13";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";4;"1k";;;
3;"R2,R1";"R_0603_1608Metric_Pad0.98x0.95mm_HandSolder";2;"100k";;;
4;"D3,D2,D1";"D_0603_1608Metric_Pad1.05x0.95mm_HandSolder";3;"D";;;
5;"C9,C3";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
6;"C8,C2";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"100nF";;;
7;"C7,C5";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1nF";;;
8;"C6";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";1;"10nF";;;
9;"D5,D6";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4007";;;
10;"U1";"Molex_CMC_48pin_Male_Black";1;"~";;;
11;"D4";"D_PowerDI-123";1;"D_Schottky";;;
12;"C1";"CP_Elec_6.3x7.7";1;"100uF";;;
13;"Q2,Q1";"TO-252-2";2;"FGD3440G2-F085";;;
14;"U2";"Core4_rev1";1;"core4";;;
15;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"660k";;;
16;"U4";"SOT-23-5_HandSoldering";1;"LMV321";;;
17;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"300K";;;
18;"U3";"MPXHZ6250AC6T1";1;"MPXHZ6250AC6T1";;;
19;"A1";"Pololu_Breakout-16_15.2x20.3mm";1;"Pololu_Breakout_DRV8825";;;
20;"IC1";"QSOP-16_3.9x4.9mm_P0.635mm";1;"MAX9926UAEE_V+";;;
